PHONE_ID,PEOPLE_ID,PHONE_NUM,PHONE_IsPrimary,COUNTRY_ID
1,703,872-406-2824,true,840.23
2,131,426-379-8908,true,855.56
3,311,231-685-3959,false,227.91
4,137,740-438-4306,false,988.3
5,840,194-977-9197,true,38.75
6,623,423-974-7444,false,270.23
7,672,655-273-1278,true,914.5
8,391,123-694-2223,true,967.76
9,42,287-425-6972,true,887.2
10,143,535-708-8082,true,907.27
11,236,666-875-4067,false,556.34
12,162,589-450-5350,true,116.92
13,841,549-432-6379,true,881.74
14,532,110-681-9671,false,930.05
15,559,391-808-0410,false,37.83
16,334,512-660-2587,true,269.33
17,4,346-733-1528,false,138.53
18,283,385-108-2136,false,376.65
19,258,967-285-1205,false,136.6
20,726,977-134-4657,true,835.84
21,524,370-334-3157,true,144.89
22,508,408-698-5389,true,207.38
23,618,775-599-7192,true,750.57
24,931,737-953-1602,false,794.43
25,390,803-752-0835,false,580.28
26,301,422-749-0762,false,362.6
27,356,927-180-3007,false,707.63
28,562,890-646-7729,true,777.37
29,391,232-686-7624,true,419.35
30,645,495-975-4836,true,245.32
31,126,290-267-7424,true,40.13
32,301,812-660-1660,false,658.75
33,499,228-308-1023,false,342.46
34,605,365-109-2520,true,313.71
35,805,737-562-7669,true,957.29
36,311,800-250-6674,false,951.33
37,683,513-117-5119,true,965.57
38,870,278-538-6556,false,902.65
39,209,294-971-1311,false,883.38
40,517,607-355-7187,false,167.91
41,650,658-772-1450,false,842.67
42,899,866-817-3076,false,725.48
43,445,524-585-5641,true,347.16
44,350,633-441-1059,false,987.17
45,967,505-144-2299,true,321.4
46,823,822-624-3865,true,629.64
47,490,121-358-3105,false,703.62
48,205,212-481-5993,false,203.05
49,475,275-855-3000,true,833.47
50,2,328-770-2161,false,215.24
51,211,594-617-1983,true,36.26
52,110,431-760-2341,false,816.09
53,79,436-321-0799,true,595.51
54,258,494-499-4306,true,720.47
55,972,800-790-0304,true,141.23
56,209,375-190-0774,false,385.16
57,883,222-712-7798,false,76.9
58,827,780-958-1257,true,250.3
59,789,679-463-2422,false,157.42
60,52,469-918-8100,false,313.54
61,236,629-203-1178,true,626.52
62,565,625-885-3309,false,995.52
63,786,253-168-1005,false,774.17
64,820,931-214-3206,false,108.53
65,620,595-386-3138,true,194.85
66,893,988-539-7028,false,948.83
67,5,359-996-8403,true,383.95
68,657,486-385-8463,false,462.65
69,168,408-947-7455,false,788.52
70,801,314-976-0578,true,817.01
71,269,522-564-1769,true,382.06
72,568,822-862-3832,false,489.87
73,429,832-850-6595,false,83.18
74,305,288-433-5092,false,32.2
75,707,978-654-8025,false,479.73
76,583,472-855-1456,false,946.75
77,739,496-939-3362,true,196.61
78,553,778-980-9623,false,610.96
79,503,681-978-9699,true,262.57
80,586,232-137-2237,true,226.32
81,912,373-708-5166,false,739.63
82,956,101-993-2364,true,312.78
83,120,313-809-0809,true,550.02
84,874,570-884-5032,false,29.68
85,705,389-728-8719,true,484.69
86,251,562-703-5612,false,690.39
87,13,553-598-1955,true,11.72
88,171,527-452-9663,false,720.0
89,188,971-516-2212,true,68.06
